timestamp,pos_x,pos_y,pos_z,rot_w,rot_x,rot_y,rot_z,rpm_0,rpm_1,rpm_2,rpm_3
0.0,0.004587,2.086849,0.001618,1.0,0.000236,-0.0004,0.000252,4404.271691,4404.271691,4404.271691,4404.271691
0.02,0.004591,2.088749,0.001613,0.999981,0.004363,-0.000307,0.004382,2997.561772,2997.561772,6984.724729,2997.561772
0.04,0.004639,2.093884,0.001559,0.999546,0.021284,7.6e-05,0.021328,2170.182583,2170.182583,5106.806075,2170.182583
0.06,0.004802,2.100761,0.001378,0.998029,0.04432,0.000684,0.044433,4823.053716,1683.546133,3410.768732,1683.546133
0.08,0.005251,2.10975,0.000897,0.996523,0.058762,0.00164,0.059043,8264.903831,1397.323034,2413.216939,1397.323034
0.1,0.006169,2.121732,-6.1e-05,0.997106,0.053414,0.003104,0.054,5591.321555,1228.976289,1826.490719,1228.976289
0.12,0.007358,2.135124,-0.001289,0.99851,0.037966,0.004861,0.038883,3695.744347,1129.960429,3220.561691,1129.960429
0.14,0.008707,2.149669,-0.002658,0.999353,0.024389,0.006888,0.025534,2580.829956,1071.72265,6770.016322,1071.72265
0.16,0.010202,2.166145,-0.004151,0.999378,0.023464,0.009313,0.024631,1925.075026,1037.469158,5167.356228,1037.469158
0.18,0.011789,2.183694,-0.00572,0.998973,0.030334,0.012006,0.031429,3279.79489,1017.322412,3446.382284,1017.322412
0.2,0.013453,2.201677,-0.007353,0.998372,0.038396,0.014865,0.039473,2336.182556,1005.472778,2434.163626,1005.472778
0.22,0.015174,2.219514,-0.009032,0.997613,0.046602,0.017804,0.047738,1781.181701,998.503224,1838.810852,998.503224
0.24,0.016945,2.236908,-0.010753,0.996704,0.054806,0.020778,0.056085,1560.346154,994.403969,1488.64449,994.403969
0.26,0.018794,2.253925,-0.012554,0.995819,0.061574,0.023796,0.063139,3995.406991,991.992925,1282.688481,991.992925
0.28,0.020779,2.270946,-0.014489,0.995409,0.063878,0.026913,0.065997,2757.081386,990.574831,1161.552123,990.574831
0.3,0.022864,2.287657,-0.016522,0.995307,0.063609,0.030086,0.066434,2028.740155,989.740756,1090.303815,989.740756
0.32,0.025016,2.303835,-0.01861,0.995344,0.062137,0.033286,0.065737,1600.354481,989.250181,1048.397971,989.250181
0.34,0.027216,2.319382,-0.020731,0.995441,0.060068,0.0365,0.064468,1348.392519,988.961641,1023.750371,988.961641
0.36,0.029452,2.334252,-0.022877,0.99556,0.057689,0.039721,0.062892,1200.197016,988.791932,1009.253486,988.791932
0.38,0.03172,2.34842,-0.025046,0.995679,0.055143,0.042946,0.061142,1113.033434,988.692115,1000.726909,988.692115
0.4,0.034016,2.361873,-0.027236,0.995789,0.052508,0.046174,0.059287,1061.766763,988.633406,995.711864,988.633406
0.42,0.036341,2.374603,-0.029444,0.995884,0.049826,0.049404,0.057367,1031.613442,988.598875,992.762185,988.598875
0.44,0.038691,2.386607,-0.031669,0.995962,0.047121,0.052634,0.055402,1013.878279,988.578565,991.027283,988.578565
0.46,0.041067,2.397883,-0.03391,0.99602,0.044407,0.055865,0.053405,1003.447055,988.56662,990.006873,988.56662
0.48,0.043467,2.408429,-0.036166,0.996057,0.041693,0.059096,0.051383,997.311763,988.559594,989.406702,988.559594
0.5,0.045891,2.418245,-0.038435,0.996073,0.038983,0.062327,0.04934,993.703191,988.555462,989.053702,988.555462
0.52,0.048337,2.427331,-0.040717,0.996068,0.03628,0.065557,0.04728,991.580751,988.553031,988.846079,988.553031
0.54,0.050805,2.435686,-0.043011,0.996041,0.033585,0.068788,0.045202,990.332404,988.551601,988.723962,988.551601
0.56,0.053293,2.443311,-0.045316,0.995992,0.0309,0.072018,0.043109,989.598168,988.550761,988.652137,988.550761
0.58,0.055802,2.450207,-0.04763,0.995922,0.028225,0.075247,0.041001,989.166316,988.550266,988.609892,988.550266
0.6,0.058329,2.456372,-0.049953,0.99583,0.025561,0.078476,0.038878,988.912315,988.549975,988.585045,988.549975
0.62,0.060875,2.461807,-0.052284,0.995716,0.022908,0.081703,0.03674,988.76292,988.549804,988.570431,988.549804
0.64,0.063437,2.466513,-0.054621,0.99558,0.020266,0.08493,0.034588,988.675051,988.549703,988.561836,988.549703
0.66,0.066016,2.470489,-0.056964,0.995423,0.017636,0.088155,0.032422,988.623369,988.549644,988.55678,988.549644
0.68,0.068609,2.473736,-0.059312,0.995244,0.015017,0.09138,0.030241,988.592972,988.549609,988.553806,988.549609
0.7,0.071219,2.476283,-0.061664,0.995034,0.012619,0.09461,0.028221,988.575093,988.549589,1721.139348,988.549589
0.72,0.073853,2.478291,-0.064022,0.994756,0.01157,0.097885,0.027298,988.564578,988.549577,2821.034657,988.549577
0.74,0.076523,2.480006,-0.06639,0.994346,0.013603,0.101267,0.028909,988.558393,988.54957,3037.048724,988.54957
0.76,0.079236,2.481478,-0.068771,0.993783,0.018468,0.104756,0.032866,1974.503726,988.549566,2193.407473,988.549566
0.78,0.081999,2.48273,-0.071172,0.993174,0.023056,0.108308,0.036652,3291.723498,988.549563,1697.206227,988.549563
0.8,0.084836,2.48398,-0.073607,0.992712,0.0241,0.111918,0.037628,3514.036271,988.549562,1405.357439,988.549562
0.82,0.087751,2.485272,-0.076078,0.992473,0.020497,0.115582,0.034894,3414.903497,988.549561,1233.701855,988.549561
0.84,0.090728,2.486455,-0.078574,0.992354,0.01294,0.119277,0.028975,2415.648868,988.54956,1132.739847,988.54956
0.86,0.093739,2.487227,-0.081078,0.992173,0.003397,0.122976,0.021405,1827.921098,988.54956,1073.357409,988.54956
0.88,0.096769,2.487508,-0.083579,0.991831,-0.006498,0.126683,0.013455,1482.239505,988.54956,2591.904431,988.54956
0.9,0.099817,2.487688,-0.08606,0.991328,-0.012884,0.130526,0.008121,1278.921285,988.54956,4670.345384,988.54956
0.92,0.102881,2.488306,-0.0885,0.990785,-0.01138,0.13468,0.00881,1159.336386,988.54956,3930.411241,988.54956
0.94,0.105959,2.489045,-0.09091,0.990178,-0.004079,0.139053,0.013961,1155.225015,988.54956,2718.853085,988.54956
0.96,0.109054,2.489559,-0.093308,0.989416,0.005299,0.143514,0.020774,2686.968086,988.54956,2006.255562,988.54956
0.98,0.112184,2.489982,-0.095709,0.988555,0.01271,0.148022,0.026222,3606.155199,988.54956,1587.129804,988.54956
1.0,0.11537,2.49051,-0.098125,0.987769,0.015355,0.152583,0.028208,3623.334157,988.54956,1340.614211,988.54956
1.02,0.118617,2.491124,-0.10056,0.987134,0.01272,0.157197,0.026331,3485.002423,988.54956,1195.622078,988.54956
1.04,0.121914,2.491709,-0.103007,0.986579,0.005332,0.161846,0.020948,3019.285119,988.54956,1110.34261,988.54956
1.06,0.125242,2.492096,-0.105454,0.985937,-0.004963,0.166509,0.013364,2182.959521,988.54956,2130.311196,988.54956
1.08,0.128587,2.492332,-0.107884,0.985104,-0.014383,0.17124,0.006269,1691.061095,988.54956,3698.37083,988.54956
1.1,0.131938,2.492678,-0.110278,0.984173,-0.019216,0.176153,0.002306,1401.743081,988.54956,3441.55622,988.54956
1.12,0.135284,2.492962,-0.112633,0.983238,-0.019945,0.181229,0.001165,1231.576012,988.54956,2431.325098,988.54956
1.14,0.138625,2.492855,-0.114963,0.982299,-0.018622,0.186386,0.001441,1131.489498,988.54956,1837.141326,988.54956
1.16,0.141962,2.492186,-0.117276,0.981339,-0.016324,0.191579,0.002401,1072.621996,988.54956,1487.662531,988.54956
1.18,0.145296,2.490875,-0.119575,0.980346,-0.013538,0.196785,0.003719,1037.998123,988.54956,1282.110926,988.54956
1.2,0.148628,2.488882,-0.121864,0.979316,-0.010497,0.201995,0.00524,1017.633532,988.54956,1161.212425,988.54956
1.22,0.151959,2.486208,-0.124144,0.978246,-0.007478,0.207203,0.006783,1521.301401,988.54956,1090.104016,988.54956
1.24,0.155292,2.482957,-0.126415,0.977134,-0.005436,0.212415,0.007723,2520.331283,988.54956,1048.280456,988.54956
1.26,0.158629,2.479437,-0.128672,0.975982,-0.006573,0.217649,0.006629,3732.711823,988.54956,1434.852919,988.54956
1.28,0.161973,2.476358,-0.130901,0.974732,-0.013266,0.222976,0.001956,4911.422892,988.54956,3676.86625,988.54956
1.3,0.165301,2.474923,-0.13305,0.973285,-0.021154,0.228597,-0.003599,3892.235642,988.54956,6241.181842,988.54956
1.32,0.168578,2.475565,-0.135079,0.971849,-0.019975,0.234729,-0.003603,2696.399489,988.54956,4772.104924,988.54956
1.34,0.171819,2.477138,-0.137033,0.970408,-0.011945,0.241173,0.000648,1993.049116,988.54956,3213.908837,988.54956
1.36,0.175051,2.478754,-0.138961,0.968808,-0.000939,0.247718,0.006833,1698.144568,988.54956,2297.430608,988.54956
